Year,Afghanistan
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,500000
1980,1734921
1981,3879984
1982,4488214
1983,4712735
1984,4417651
1985,4653193
1986,5094283
1987,5511740
1988,5622982
1989,5643989
1990,6339095
1991,6306301
1992,4552153
1993,3374576
1994,2731169
1995,2679133
1996,2674236
1997,2676674
1998,2667115
1999,2601691
2000,3587336
2001,3809767
2002,2510294
2003,2136043
2004,2414468
2005,2166149
2006,2107519
2007,3057661
2008,2833128
2009,2887123
2010,3054709
2011,2664436
2012,2586152
2013,2556502
2014,2596270
2015,2666305
2016,2501410
