Group,Flag
ABSDF,ABSDF.png
ADF,ADF.png
Afghanistan,Afghanistan.svg
Al-Qaeda,Al-Qaeda.svg
al-Shabaab,al-Shabaab.svg
Angola,Angola.svg
Anyanya,Anyaanya.png
Arakan Army,Arakan.png
Burundi,Burundi.svg
Canada,Canada.svg
Chad,Chad.svg
CNDP,CNDP.svg
Dem. Rep. of the Congo,Congo.svg
EDP,EDP.png
Egypt,Egypt.svg
EPRP,EPRP.png
Ethiopia,Ethiopia.svg
FDLR,FDLR.svg
FNLC,FNLC.svg
FPR,RPF.svg
France,France.svg
Germany,Germany.svg
Hezbollah,Hezbollah.svg
India,India.svg
Iran,Iran.svg
Iraq,Iraq.svg
Ireland,Ireland.svg
ISIS,ISIS.svg
Israel,Israel.svg
Italy,Italy.svg
Jordan,Jordan.svg
Katanga,Katanga.svg
KDP,KDP.png
Kenya,Kenya.svg
Kuwait,Kuwait.svg
M23,M23.svg
Morocco,Morocco.svg
Mujahideen,Mujahideen.svg
Muslim Brotherhood,Muslim Brotherhood.png
Myanmar,Myanmar.svg
National Liberation Front,FNL.svg
Pakistan,Pakistan.svg
Poland,Poland.svg
Qatar,Qatar.svg
RCD,RCD.svg
RPD,RPD.svg
Rwanda,Rwanda.svg
Saudi Arabia,Saudi.svg
Somalia,Somalia.svg
South Africa,South_Africa.svg
South Kasai,Kasai.svg
Soviet Union,USSR.svg
SPLA,SPLA.svg
Sudan,Sudan.svg
Sweden,Sweden.svg
Syrian Arab Rep.,Syria.svg
Taliban,Taliban.svg
TPLF,TPLF.png
Turkey,Turkey.svg
Uganda,Uganda.svg
UK,UK.svg
US,US.svg
North Vietnam,Vietnam.svg
Viet Nam,Vietnam.svg
South Vietnam,South_Vietnam.svg
Cambodia,Cambodia.svg
China,China.svg
Thailand,Thailand.svg
Laos,Laos.svg
