Year,Event,Type
1945,Cold war starts between US and USSR,Coldwar
1946,US spreads Capitalism in France and Japan,Coldwar
1948,USSR invades Germany,Coldwar
1950,Korea and China turn Communist,Coldwar
1953,US stages a coup in Iran,Coldwar
1955,US & USSR clash in Vietnam war,Coldwar
1962,Cuban missile crisis,Coldwar
1980,Cold war ends with liberalization in USSR,Coldwar
1950,Saudi Arabia forges an alliance with USA,Middleeast
1953,US stages a coup in Iran,Middleeast
1979,Iranian revolution,Middleeast
1980,Iran Iraq war,Middleeast
2003,US invades Iraq,Middleeast
2010,Arab Spring,Middleeast
2011,Saudi arabia and Iran clash in Proxy wars,Middleeast
1980,Mujahideen is formed,Terrorism
1989,Al Qaeda is formed in Afghanistan,Terrorism
2001,World trade center attack,Terrorism
2003,Iraq war,Terrorism
2004,Al Qaeda in Iraq is formed,Terrorism
2006,US attack & weaken AQI,Terrorism
2011,US withdraws from Iraq,Terrorism
2011,ISIS is formed,Terrorism
2014,ISIS expands to Syria,Terrorism
