Year,Destination,Origin,Refugees
1961,Burundi,Rwanda,30000
1961,Dem. Rep. of the Congo,Rwanda,53000
1961,Uganda,Rwanda,52000
1962,Burundi,Rwanda,30000
1962,Dem. Rep. of the Congo,Rwanda,53000
1962,Uganda,Rwanda,52000
1963,Burundi,Rwanda,34000
1963,Dem. Rep. of the Congo,Rwanda,54000
1963,Uganda,Rwanda,54000
1964,Burundi,Rwanda,58000
1964,Dem. Rep. of the Congo,Rwanda,28000
1964,Uganda,Dem. Rep. of the Congo,34000
1964,Uganda,Rwanda,67000
1965,Burundi,Rwanda,52000
1965,Dem. Rep. of the Congo,Rwanda,25000
1965,Uganda,Dem. Rep. of the Congo,28000
1965,Uganda,Rwanda,65400
1965,Uganda,Sudan,44000
1966,Burundi,Dem. Rep. of the Congo,25000
1966,Burundi,Rwanda,54000
1966,Central African Rep.,Sudan,27000
1966,Dem. Rep. of the Congo,Rwanda,24100
1966,Dem. Rep. of the Congo,Sudan,33000
1966,Uganda,Dem. Rep. of the Congo,33000
1966,Uganda,Rwanda,68000
1966,Uganda,Sudan,55000
1967,Burundi,Dem. Rep. of the Congo,25000
1967,Burundi,Rwanda,54000
1967,Central African Rep.,Sudan,21000
1967,Dem. Rep. of the Congo,Rwanda,24100
1967,Dem. Rep. of the Congo,Sudan,40000
1967,Sudan,Ethiopia,28600
1967,Uganda,Dem. Rep. of the Congo,34140
1967,Uganda,Rwanda,68630
1967,Uganda,Sudan,59990
1968,Burundi,Rwanda,52200
1968,Dem. Rep. of the Congo,Rwanda,24100
1968,Dem. Rep. of the Congo,Sudan,66000
1968,Cambodia,Viet Nam,22000
1968,Sudan,Ethiopia,31000
1968,Uganda,Dem. Rep. of the Congo,34430
1968,Uganda,Rwanda,69800
1968,Uganda,Sudan,71500
1969,Burundi,Rwanda,36200
1969,Dem. Rep. of the Congo,Rwanda,24000
1969,Dem. Rep. of the Congo,Sudan,59000
1969,Cambodia,Viet Nam,22000
1969,Sudan,Ethiopia,31000
1969,Uganda,Dem. Rep. of the Congo,34530
1969,Uganda,Rwanda,71230
1969,Uganda,Sudan,71500
1970,Burundi,Rwanda,31800
1970,Central African Rep.,Sudan,22670
1970,Dem. Rep. of the Congo,Rwanda,24000
1970,Dem. Rep. of the Congo,Sudan,55000
1970,Ethiopia,Sudan,21000
1970,Sudan,Ethiopia,54350
1970,Uganda,Dem. Rep. of the Congo,33730
1970,Uganda,Rwanda,72000
1970,Uganda,Sudan,74000
1971,Burundi,Rwanda,32800
1971,Central African Rep.,Sudan,23300
1971,Dem. Rep. of the Congo,Rwanda,23500
1971,Dem. Rep. of the Congo,Sudan,50000
1971,Ethiopia,Sudan,22670
1971,Sudan,Ethiopia,55000
1971,Uganda,Dem. Rep. of the Congo,33620
1971,Uganda,Rwanda,72000
1971,Uganda,Sudan,75300
1972,Burundi,Rwanda,43290
1972,Dem. Rep. of the Congo,Burundi,35000
1972,Dem. Rep. of the Congo,Rwanda,23500
1972,Dem. Rep. of the Congo,Sudan,36000
1972,Sudan,Ethiopia,44400
1972,United Rep. of Tanzania,Burundi,90000
1972,Uganda,Dem. Rep. of the Congo,34300
1972,Uganda,Rwanda,72860
1972,Uganda,Sudan,59400
1973,Burundi,Rwanda,49000
1973,Dem. Rep. of the Congo,Burundi,35000
1973,Dem. Rep. of the Congo,Rwanda,24300
1973,Sudan,Ethiopia,46300
1973,United Rep. of Tanzania,Burundi,90230
1973,Uganda,Dem. Rep. of the Congo,34300
1973,Uganda,Rwanda,73920
1974,Burundi,Rwanda,48500
1974,Dem. Rep. of the Congo,Burundi,24000
1974,Dem. Rep. of the Congo,Rwanda,24300
1974,Sudan,Ethiopia,49200
1974,United Rep. of Tanzania,Burundi,90880
1974,United Rep. of Tanzania,Rwanda,27420
1974,Uganda,Dem. Rep. of the Congo,34390
1974,Uganda,Rwanda,78040
1975,Burundi,Rwanda,49500
1975,Dem. Rep. of the Congo,Burundi,24000
1975,Dem. Rep. of the Congo,Rwanda,24300
1975,Sudan,Ethiopia,91000
1975,United Rep. of Tanzania,Burundi,110540
1975,United Rep. of Tanzania,Rwanda,23100
1975,Uganda,Dem. Rep. of the Congo,34450
1975,Uganda,Rwanda,78120
1976,Burundi,Rwanda,49500
1976,Dem. Rep. of the Congo,Rwanda,24500
1976,Sudan,Ethiopia,105000
1976,United Rep. of Tanzania,Burundi,126600
1976,United Rep. of Tanzania,Rwanda,23600
1976,Uganda,Dem. Rep. of the Congo,34230
1976,Uganda,Rwanda,78480
1977,Angola,Dem. Rep. of the Congo,225000
1977,Burundi,Rwanda,50000
1977,Sudan,Ethiopia,145500
1977,Somalia,Ethiopia,500000
1977,United Rep. of Tanzania,Burundi,134750
1977,United Rep. of Tanzania,Rwanda,24370
1977,Uganda,Dem. Rep. of the Congo,34710
1977,Uganda,Rwanda,76840
1978,Angola,Dem. Rep. of the Congo,110550
1978,Burundi,Rwanda,49430
1978,Bangladesh,Myanmar,160000
1978,Dem. Rep. of the Congo,Rwanda,22000
1978,"China, Hong Kong SAR",Viet Nam,55710
1978,Malaysia,Viet Nam,49580
1978,Sudan,Ethiopia,265500
1978,Somalia,Ethiopia,600000
1978,United Rep. of Tanzania,Burundi,129580
1978,United Rep. of Tanzania,Rwanda,25100
1978,Uganda,Dem. Rep. of the Congo,34700
1978,Uganda,Rwanda,78000
1979,Angola,Dem. Rep. of the Congo,30000
1979,Burundi,Rwanda,49480
1979,China,Viet Nam,250000
1979,Dem. Rep. of the Congo,Rwanda,22000
1979,Djibouti,Ethiopia,28800
1979,"China, Hong Kong SAR",Viet Nam,55700
1979,Indonesia,Viet Nam,32200
1979,Iran (Islamic Rep. of),Afghanistan,100000
1979,Iran (Islamic Rep. of),Iraq,30000
1979,Malaysia,Viet Nam,34300
1979,Pakistan,Afghanistan,400000
1979,Saudi Arabia,Ethiopia,100000
1979,Sudan,Ethiopia,311200
1979,Somalia,Ethiopia,1175000
1979,United Rep. of Tanzania,Burundi,132880
1979,United Rep. of Tanzania,Rwanda,26330
1979,Uganda,Dem. Rep. of the Congo,34000
1979,Uganda,Rwanda,78000
1980,Burundi,Dem. Rep. of the Congo,50750
1980,Burundi,Rwanda,183810
1980,China,Viet Nam,263000
1980,Dem. Rep. of the Congo,Rwanda,22000
1980,Djibouti,Ethiopia,45310
1980,"China, Hong Kong SAR",Viet Nam,24070
1980,Iran (Islamic Rep. of),Afghanistan,300000
1980,Iran (Islamic Rep. of),Iraq,30000
1980,Pakistan,Afghanistan,1428230
1980,Philippines,Viet Nam,20300
1980,Saudi Arabia,Ethiopia,100000
1980,Sudan,Ethiopia,411000
1980,Somalia,Ethiopia,2000000
1980,United Rep. of Tanzania,Burundi,148620
1980,Uganda,Dem. Rep. of the Congo,32000
1980,Uganda,Rwanda,80000
1981,Burundi,Dem. Rep. of the Congo,51090
1981,Burundi,Rwanda,183170
1981,China,Viet Nam,265000
1981,Djibouti,Ethiopia,31600
1981,Iran (Islamic Rep. of),Afghanistan,1500000
1981,Iran (Islamic Rep. of),Iraq,65000
1981,Pakistan,Afghanistan,2375330
1981,Saudi Arabia,Ethiopia,65000
1981,Sudan,Ethiopia,488450
1981,Somalia,Ethiopia,700000
1981,United Rep. of Tanzania,Burundi,153700
1981,Uganda,Dem. Rep. of the Congo,32000
1981,Uganda,Rwanda,80000
1982,Angola,Dem. Rep. of the Congo,20060
1982,Burundi,Rwanda,234590
1982,China,Viet Nam,268350
1982,Djibouti,Ethiopia,34000
1982,Iran (Islamic Rep. of),Afghanistan,1600000
1982,Iran (Islamic Rep. of),Iraq,100000
1982,Pakistan,Afghanistan,2877480
1982,Saudi Arabia,Ethiopia,57000
1982,Sudan,Ethiopia,460000
1982,Somalia,Ethiopia,700000
1982,United Rep. of Tanzania,Burundi,148270
1982,Uganda,Dem. Rep. of the Congo,32000
1982,Uganda,Rwanda,80000
1983,Angola,Dem. Rep. of the Congo,20060
1983,Burundi,Rwanda,227870
1983,China,Viet Nam,272720
1983,Djibouti,Ethiopia,29170
1983,Ethiopia,Sudan,31000
1983,Iran (Islamic Rep. of),Afghanistan,1800000
1983,Iran (Islamic Rep. of),Iraq,100000
1983,Pakistan,Afghanistan,2900000
1983,Saudi Arabia,Ethiopia,57000
1983,Sudan,Ethiopia,484000
1983,Somalia,Ethiopia,700000
1983,United Rep. of Tanzania,Burundi,148050
1983,Uganda,Dem. Rep. of the Congo,31350
1983,Uganda,Rwanda,80320
1984,Burundi,Rwanda,227870
1984,China,Viet Nam,275960
1984,Ethiopia,Sudan,180000
1984,Iran (Islamic Rep. of),Afghanistan,1900000
1984,Iran (Islamic Rep. of),Iraq,100000
1984,Pakistan,Afghanistan,2500000
1984,Saudi Arabia,Ethiopia,100000
1984,Sudan,Ethiopia,645000
1984,Somalia,Ethiopia,701300
1984,United Rep. of Tanzania,Burundi,154240
