Year,Origin,Destination,Refugees
1977,Ethiopia,Somalia,500000
1978,Ethiopia,Somalia,600000
1979,Afghanistan,Pakistan,400000
1979,Ethiopia,Sudan,311200
1979,Ethiopia,Somalia,1175000
1980,Afghanistan,Pakistan,1428230
1980,Ethiopia,Sudan,411000
1980,Ethiopia,Somalia,2000000
1981,Afghanistan,Iran (Islamic Rep. of),1500000
1981,Afghanistan,Pakistan,2375330
1981,Ethiopia,Sudan,488450
1981,Ethiopia,Somalia,700000
1982,Afghanistan,Iran (Islamic Rep. of),1600000
1982,Afghanistan,Pakistan,2877480
1982,Ethiopia,Sudan,460000
1982,Ethiopia,Somalia,700000
1983,Afghanistan,Iran (Islamic Rep. of),1800000
1983,Afghanistan,Pakistan,2900000
1983,Ethiopia,Sudan,484000
1983,Ethiopia,Somalia,700000
1984,Afghanistan,Iran (Islamic Rep. of),1900000
1984,Afghanistan,Pakistan,2500000
1984,Ethiopia,Sudan,645000
1984,Ethiopia,Somalia,701300
1985,Afghanistan,Iran (Islamic Rep. of),1900000
1985,Iraq,Iran (Islamic Rep. of),400000
1985,Afghanistan,Pakistan,2729910
1985,Ethiopia,Sudan,786000
1985,Ethiopia,Somalia,812000
1986,Afghanistan,Iran (Islamic Rep. of),2190000
1986,Iraq,Iran (Islamic Rep. of),400000
1986,Afghanistan,Pakistan,2878100
1986,Ethiopia,Sudan,677000
1986,Ethiopia,Somalia,700000
1987,Afghanistan,Iran (Islamic Rep. of),2350000
1987,Iraq,Iran (Islamic Rep. of),410000
1987,Afghanistan,Pakistan,3156000
1987,Ethiopia,Sudan,627070
1987,Ethiopia,Somalia,840100
1988,Sudan,Ethiopia,328976
1988,Somalia,Ethiopia,350067
1988,Afghanistan,Iran (Islamic Rep. of),2350000
1988,Iraq,Iran (Islamic Rep. of),500000
1988,Afghanistan,Pakistan,3254393
1988,Ethiopia,Sudan,660000
1988,Ethiopia,Somalia,834000
1989,Sudan,Ethiopia,384989
1989,Somalia,Ethiopia,324808
1989,Afghanistan,Iran (Islamic Rep. of),2350000
1989,Iraq,Iran (Islamic Rep. of),500000
1989,Afghanistan,Pakistan,3272290
1989,Ethiopia,Sudan,685426
1989,Ethiopia,Somalia,769630
1990,Sudan,Ethiopia,387585
1990,Somalia,Ethiopia,386000
1990,Afghanistan,Iran (Islamic Rep. of),3061110
1990,Iraq,Iran (Islamic Rep. of),1113291
1990,Afghanistan,Pakistan,3253000
1990,Ethiopia,Sudan,856437
1990,Ethiopia,Somalia,460000
1991,Somalia,Ethiopia,513950
1991,Afghanistan,Iran (Islamic Rep. of),3186616
1991,Iraq,Iran (Islamic Rep. of),1218379
1991,Afghanistan,Pakistan,3098000
1992,Somalia,Ethiopia,406147
1992,Afghanistan,Iran (Islamic Rep. of),2900666
1992,Iraq,Iran (Islamic Rep. of),1250057
1992,Afghanistan,Pakistan,1627000
1993,Afghanistan,Iran (Islamic Rep. of),1850000
1993,Iraq,Iran (Islamic Rep. of),645000
1993,Afghanistan,Pakistan,1476876
1993,Burundi,United Rep. of Tanzania,444867
1994,Rwanda,Dem. Rep. of the Congo,1252837
1994,Afghanistan,Iran (Islamic Rep. of),1623331
1994,Iraq,Iran (Islamic Rep. of),613000
1994,Afghanistan,Pakistan,1053000
1994,Rwanda,United Rep. of Tanzania,626196
1995,Rwanda,Dem. Rep. of the Congo,1100642
1995,Somalia,Ethiopia,305351
1995,Afghanistan,Iran (Islamic Rep. of),1429038
1995,Iraq,Iran (Islamic Rep. of),595500
1995,Afghanistan,Pakistan,1200000
1995,Rwanda,United Rep. of Tanzania,547976
1996,Rwanda,Dem. Rep. of the Congo,423561
1996,Afghanistan,Iran (Islamic Rep. of),1414659
1996,Iraq,Iran (Islamic Rep. of),579200
1996,Afghanistan,Pakistan,1200000
1996,Burundi,United Rep. of Tanzania,385452
1997,Afghanistan,Iran (Islamic Rep. of),1411759
1997,Iraq,Iran (Islamic Rep. of),570794
1997,Afghanistan,Pakistan,1200000
1997,Burundi,United Rep. of Tanzania,459420
1998,Afghanistan,Iran (Islamic Rep. of),1400722
1998,Iraq,Iran (Islamic Rep. of),530610
1998,Afghanistan,Pakistan,1200000
1998,Burundi,United Rep. of Tanzania,473768
1999,Afghanistan,Iran (Islamic Rep. of),1325724
1999,Iraq,Iran (Islamic Rep. of),509964
1999,Afghanistan,Pakistan,1200000
1999,Burundi,United Rep. of Tanzania,498982
2000,Afghanistan,Iran (Islamic Rep. of),1482000
2000,Iraq,Iran (Islamic Rep. of),386000
2000,Afghanistan,Pakistan,2000000
2000,Burundi,United Rep. of Tanzania,538448
2001,Afghanistan,Iran (Islamic Rep. of),1482000
2001,Iraq,Iran (Islamic Rep. of),386000
2001,Afghanistan,Pakistan,2197821
2001,Burundi,United Rep. of Tanzania,521180
2002,Afghanistan,Iran (Islamic Rep. of),1104909
2002,Afghanistan,Pakistan,1226569
2002,Burundi,United Rep. of Tanzania,540861
2003,Afghanistan,Iran (Islamic Rep. of),834699
2003,Afghanistan,Pakistan,1123647
2003,Burundi,United Rep. of Tanzania,494209
2004,Afghanistan,Iran (Islamic Rep. of),952802
2004,Afghanistan,Pakistan,1290408
2004,Burundi,United Rep. of Tanzania,443706
2005,Viet Nam,China,300897
2005,Afghanistan,Iran (Islamic Rep. of),920248
2005,Afghanistan,Pakistan,1084208
2005,Burundi,United Rep. of Tanzania,393611
2006,Viet Nam,China,300897
2006,Afghanistan,Iran (Islamic Rep. of),914260
2006,Iraq,Jordan,500000
2006,Afghanistan,Pakistan,1043984
2006,Iraq,Syrian Arab Rep.,700000
2006,Burundi,United Rep. of Tanzania,352640
2007,Viet Nam,China,300897
2007,Afghanistan,Iran (Islamic Rep. of),906071
2007,Iraq,Jordan,500000
2007,Afghanistan,Pakistan,2034416
2007,Iraq,Syrian Arab Rep.,1500000
2007,Burundi,United Rep. of Tanzania,336277
2008,Viet Nam,China,300897
2008,Afghanistan,Iran (Islamic Rep. of),935595
2008,Iraq,Jordan,500000
2008,Afghanistan,Pakistan,1780150
2008,Iraq,Syrian Arab Rep.,1100000
2009,Viet Nam,China,300897
2009,Afghanistan,Iran (Islamic Rep. of),1022494
2009,Iraq,Jordan,450000
2009,Somalia,Kenya,310280
2009,Afghanistan,Pakistan,1739935
2009,Iraq,Syrian Arab Rep.,1050000
2010,Viet Nam,China,300897
2010,Afghanistan,Iran (Islamic Rep. of),1027577
2010,Iraq,Jordan,450000
2010,Somalia,Kenya,351773
2010,Afghanistan,Pakistan,1899842
2010,Iraq,Syrian Arab Rep.,1000000
2011,Viet Nam,China,300897
2011,Afghanistan,Iran (Islamic Rep. of),840451
2011,Iraq,Jordan,450000
2011,Somalia,Kenya,517666
2011,Afghanistan,Pakistan,1701945
2011,Iraq,Syrian Arab Rep.,750000
2012,Viet Nam,China,300897
2012,Afghanistan,Iran (Islamic Rep. of),824087
2012,Somalia,Kenya,512069
2012,Afghanistan,Pakistan,1637740
2012,Iraq,Syrian Arab Rep.,471418
2012,Sudan,Chad,306960
2013,Viet Nam,China,300896
2013,Afghanistan,Iran (Islamic Rep. of),814015
2013,Syrian Arab Rep.,Jordan,585304
2013,Somalia,Kenya,475304
2013,Syrian Arab Rep.,Lebanon,851284
2013,Afghanistan,Pakistan,1615876
2013,Sudan,Chad,352948
2013,Syrian Arab Rep.,Turkey,585601
2014,Viet Nam,China,300896
2014,Afghanistan,Iran (Islamic Rep. of),950000
2014,Syrian Arab Rep.,Jordan,623112
2014,Somalia,Kenya,424691
2014,Syrian Arab Rep.,Lebanon,1147494
2014,Afghanistan,Pakistan,1504912
2014,Sudan,Chad,357711
2014,Syrian Arab Rep.,Turkey,1557899
2015,Viet Nam,China,300896
2015,Afghanistan,Iran (Islamic Rep. of),951142
2015,Syrian Arab Rep.,Jordan,628223
2015,Somalia,Kenya,417920
2015,Syrian Arab Rep.,Lebanon,1062690
2015,Afghanistan,Pakistan,1560592
2015,Syrian Arab Rep.,Turkey,2503549
2016,Viet Nam,China,317098
2016,Syrian Arab Rep.,Germany,375122
2016,Afghanistan,Iran (Islamic Rep. of),951142
2016,Syrian Arab Rep.,Jordan,648836
2016,Somalia,Kenya,324448
2016,Syrian Arab Rep.,Lebanon,1005503
2016,Afghanistan,Pakistan,1352160
2016,Sudan,Chad,312468
2016,Syrian Arab Rep.,Turkey,2823987
