Year,Origin,Destination,Refugees,Returned,IDPs,Storyline
1961,Rwanda,Burundi,30000,0,0,
1961,Rwanda,Dem. Rep. of the Congo,53000,0,0,
1961,Rwanda,Uganda,52000,0,0,
1962,Rwanda,Burundi,30000,0,0,
1962,Rwanda,Dem. Rep. of the Congo,53000,0,0,
1962,Rwanda,Uganda,52000,0,0,
1963,Rwanda,Burundi,34000,0,0,
1963,Rwanda,Dem. Rep. of the Congo,54000,0,0,
1963,Rwanda,Uganda,54000,0,0,
1964,Rwanda,Burundi,58000,0,0,
1964,Rwanda,Dem. Rep. of the Congo,28000,0,0,
1964,Dem. Rep. of the Congo,Uganda,34000,0,0,
1964,Rwanda,Uganda,67000,0,0,
1965,Rwanda,Burundi,52000,4500,0,
1965,Rwanda,Dem. Rep. of the Congo,25000,1300,0,
1965,Dem. Rep. of the Congo,Uganda,28000,0,0,
1965,Rwanda,Uganda,65400,0,0,
1965,Sudan,Uganda,44000,0,0,
1966,Dem. Rep. of the Congo,Burundi,25000,0,0,
1966,Rwanda,Burundi,54000,700,0,
1966,Sudan,Central African Rep.,27000,0,0,
1966,Rwanda,Dem. Rep. of the Congo,24100,0,0,
1966,Sudan,Dem. Rep. of the Congo,33000,0,0,
1966,Dem. Rep. of the Congo,Uganda,33000,0,0,
1966,Rwanda,Uganda,68000,0,0,
1966,Sudan,Uganda,55000,1000,0,
1967,Dem. Rep. of the Congo,Burundi,25000,0,0,
1967,Rwanda,Burundi,54000,0,0,
1967,Sudan,Central African Rep.,21000,0,0,
1967,Rwanda,Dem. Rep. of the Congo,24100,0,0,
1967,Sudan,Dem. Rep. of the Congo,40000,0,0,
1967,Ethiopia,Sudan,28600,0,0,
1967,Dem. Rep. of the Congo,Uganda,34140,0,0,
1967,Rwanda,Uganda,68630,0,0,
1967,Sudan,Uganda,59990,0,0,
1968,Rwanda,Burundi,52200,0,0,
1968,Rwanda,Dem. Rep. of the Congo,24100,0,0,
1968,Sudan,Dem. Rep. of the Congo,66000,0,0,
1968,Viet Nam,Cambodia,22000,0,0,
1968,Ethiopia,Sudan,31000,0,0,
1968,Dem. Rep. of the Congo,Uganda,34430,0,0,
1968,Rwanda,Uganda,69800,0,0,
1968,Sudan,Uganda,71500,0,0,
1969,Rwanda,Burundi,36200,16000,0,
