Year,Refugees,Deaths,Origin
1961,,,Afghanistan
1962,,,Afghanistan
1963,,,Afghanistan
1964,,,Afghanistan
1965,,,Afghanistan
1966,,,Afghanistan
1967,,,Afghanistan
1968,,,Afghanistan
1969,,,Afghanistan
1970,,,Afghanistan
1971,,,Afghanistan
1972,,,Afghanistan
1973,,,Afghanistan
1974,,,Afghanistan
1975,,,Afghanistan
1976,,,Afghanistan
1977,,,Afghanistan
1978,,,Afghanistan
1979,500000,,Afghanistan
1980,1734921,,Afghanistan
1981,3879984,,Afghanistan
1982,4488214,,Afghanistan
1983,4712735,,Afghanistan
1984,4417651,,Afghanistan
1985,4653193,,Afghanistan
1986,5094283,,Afghanistan
1987,5511740,,Afghanistan
1988,5622982,,Afghanistan
1989,5643989,5174,Afghanistan
1990,6339095,1478,Afghanistan
1991,6306301,3302,Afghanistan
1992,4552153,4276,Afghanistan
1993,3374576,4071,Afghanistan
1994,2731169,8937,Afghanistan
1995,2679133,5499,Afghanistan
1996,2674236,3177,Afghanistan
1997,2676674,6396,Afghanistan
1998,2667115,6256,Afghanistan
1999,2601691,4629,Afghanistan
2000,3587336,5235,Afghanistan
2001,3809767,5148,Afghanistan
2002,2510294,890,Afghanistan
2003,2136043,687,Afghanistan
2004,2414468,715,Afghanistan
2005,2166149,1595,Afghanistan
2006,2107519,4750,Afghanistan
2007,3057661,6906,Afghanistan
2008,2833128,5552,Afghanistan
2009,2887123,6341,Afghanistan
2010,3054709,6864,Afghanistan
2011,2664436,7405,Afghanistan
2012,2586152,7719,Afghanistan
2013,2556502,8056,Afghanistan
2014,2596270,12285,Afghanistan
2015,2666305,17273,Afghanistan
2016,2501410,17980,Afghanistan
