Origin,Refugees,Year,Deaths
Rwanda,147000,1961,
Rwanda,147000,1962,
Rwanda,154000,1963,
Rwanda,166300,1964,
Rwanda,155900,1965,
Rwanda,159600,1966,
Rwanda,160230,1967,
Rwanda,160100,1968,
Rwanda,144930,1969,
Rwanda,142050,1970,
Rwanda,141630,1971,
Rwanda,153650,1972,
Rwanda,163595,1973,
Rwanda,178260,1974,
Rwanda,175720,1975,
Rwanda,176410,1976,
Rwanda,169780,1977,
Rwanda,175110,1978,
Rwanda,176540,1979,
Rwanda,286651,1980,
Rwanda,277011,1981,
Rwanda,327951,1982,
Rwanda,321761,1983,
Rwanda,357111,1984,
Rwanda,376521,1985,
Rwanda,371911,1986,
Rwanda,353441,1987,
Rwanda,327539,1988,
Rwanda,319501,1989,
Rwanda,361322,1990,1126
Rwanda,431240,1991,153
Rwanda,434736,1992,87
Rwanda,450462,1993,353
Rwanda,2257573,1994,1054
Rwanda,1819366,1995,
Rwanda,469136,1996,90
Rwanda,68003,1997,535
Rwanda,77743,1998,1095
Rwanda,88944,1999,
Rwanda,119056,2000,
Rwanda,84513,2001,2044
Rwanda,75257,2002,
Rwanda,75263,2003,
Rwanda,63804,2004,
Rwanda,100264,2005,
Rwanda,92966,2006,
Rwanda,80964,2007,
Rwanda,72530,2008,
Rwanda,129109,2009,
Rwanda,115524,2010,
Rwanda,106833,2011,
Rwanda,97373,2012,13
Rwanda,83955,2013,1
Rwanda,79408,2014,
Rwanda,286366,2015,
Rwanda,286033,2016,
Sudan,13000,1963,
Sudan,20300,1964,
Sudan,81560,1965,
Sudan,115000,1966,
Sudan,120990,1967,
Sudan,175500,1968,
Sudan,170400,1969,
Sudan,172960,1970,
Sudan,171330,1971,
Sudan,128450,1972,
Sudan,13050,1973,
Sudan,11770,1974,
Sudan,11000,1975,
Sudan,10600,1976,
Sudan,10850,1977,
Sudan,10850,1978,
Sudan,10850,1979,
Sudan,10852,1980,
Sudan,5352,1981,
Sudan,5352,1982,
Sudan,31002,1983,
Sudan,180062,1984,
Sudan,180855,1985,
Sudan,132759,1986,
Sudan,253166,1987,
Sudan,347310,1988,
Sudan,438899,1989,
Sudan,523998,1990,
Sudan,196242,1991,
Sudan,267767,1992,
Sudan,393871,1993,
