Year,Afghanistan,Burundi,Dem. Rep. of the Congo,Ethiopia,Iraq,Myanmar,Rwanda,Somalia,Sudan,Syrian Arab Rep.,Viet Nam
1961,,,,,,,147000,,,,
1962,,,,,,,147000,,,,
1963,,,,,,,154000,,13000,,
1964,,,58700,,,,166300,,20300,,10000
1965,,3000,47000,,,,155900,,81560,,15000
1966,,250,74800,,,,159600,,115000,,17000
1967,,,78190,28600,,,160230,,120990,,20000
1968,,,67330,31000,2700,,160100,,175500,1200,22000
1969,,,54530,31000,2700,,144930,,170400,1200,22000
1970,,,51650,54350,,,142050,,172960,,20000
1971,,,43470,55200,,,141630,,171330,,
1972,,129000,43920,44640,,5700,153650,,128450,,
1973,,131895,43380,46300,,,163595,,13050,,
1974,,120880,39820,49200,,,178260,,11770,,
1975,,141940,39410,91410,,,175720,110,11000,,2110
1976,,152320,44070,105700,,,176410,50,10600,,4000
1977,,153550,264940,655350,,,169780,60,10850,,9380
1978,,148180,151560,887670,560,160000,175110,90,10850,,115010
1979,500000,151680,70450,1623870,31000,,176540,90,10850,500,395290
1980,1734921,169772,116750,2567998,31098,,286651,134,10852,502,344428
1981,3879984,182952,118970,1293266,66589,,277011,34,5352,504,312548
1982,4488214,176272,92455,1264915,103766,,327951,118,5352,504,325343
1983,4712735,176552,101571,1281917,103721,,321761,39,31002,526,328399
1984,4417651,182912,94512,1476134,101724,,357111,639,180062,529,328095
1985,4653193,199812,86418,1749309,401503,,376521,1830,180855,2599,326617
1986,5094283,210621,96619,1534548,400745,,371911,3142,132759,534,326668
1987,5511740,186911,69428,1487663,410818,,353441,60162,253166,20,325717
1988,5622982,190154,103537,1513307,508468,7,327539,351993,347310,881,440379
1989,5643989,191443,100786,1474919,507986,4,319501,360309,438899,397,456936
1990,6339095,191622,67423,1345928,1133805,28,361322,470174,523998,2148,496029
1991,6306301,223946,65816,251241,1321853,40053,431240,732594,196242,3037,498323
1992,4552153,184135,81269,313129,1343824,245130,434736,797120,267767,4408,517111
1993,3374576,871382,74826,251828,771077,281574,450462,574617,393871,5404,527627
1994,2731169,389706,73286,226436,749834,204510,2257573,631426,405135,7087,539101
1995,2679133,350582,89738,100987,718719,152298,1819366,638698,445280,7994,543541
1996,2674236,428680,158794,96270,714730,143017,469136,636985,475305,8609,518340
1997,2676674,519123,173995,84401,707338,135772,68003,608094,364589,8653,476795
1998,2667115,502568,158833,70680,675030,133407,77743,557959,390013,8126,435437
1999,2601691,527449,255950,71055,642886,131663,88944,524613,485460,6695,405377
2000,3587336,568084,371713,66410,526179,137128,119056,475655,494363,5871,370758
2001,3809767,553999,392146,58997,530511,145856,84513,440134,489950,4869,353224
2002,2510294,574557,421362,61240,422512,148501,75257,432316,508877,18913,373741
2003,2136043,531637,453465,62677,368580,151384,75263,402336,606242,20819,363179
2004,2414468,485767,462191,63150,311890,161013,63804,389300,730641,21434,349803
2005,2166149,438706,430929,65461,262299,164864,100264,395553,693632,16401,358268
2006,2107519,396541,401914,74026,1450905,202826,92966,464037,686311,12338,374279
2007,3057661,375727,370374,59858,2309245,191313,80964,457356,523032,13690,327776
2008,2833128,281592,367995,63878,1903519,184413,72530,561155,419248,15211,328183
2009,2887123,94239,455852,62889,1785212,406669,129109,678309,368195,17914,339289
2010,3054709,84064,476693,68848,1683579,415670,115524,770154,387288,18452,338698
2011,2664436,101288,491481,70610,1428308,414626,106833,1077048,500014,19931,337829
2012,2586152,73363,509290,74968,746206,415371,97373,1136719,568943,729022,336939
2013,2556502,72647,499563,77122,401466,479606,83955,1121770,648942,2468332,314107
2014,2596270,72493,516771,86870,369954,479006,79408,1106434,665967,3887491,313418
2015,2666305,292764,541496,85839,264094,451805,286366,1123156,627087,4873243,313155
2016,2501410,408036,537429,83894,315998,490265,286033,1012277,650588,5524333,329331
